symptom,treatment,bodypart,diagnosis,others
Red eyes,Eye drops,Eyes,Trachoma,Bacterial infection
Dry cough,Isolation + supportive care,Lungs,SARS,Coronavirus family
Severe headache,Ribavirin,Whole body,Nipah Virus,Zoonotic infection
Bleeding under skin,Platelet transfusion,Skin,Dengue Shock Syndrome,Severe complication
Dizziness,IV fluids,Whole body,Heat Stroke,Summer illness
Red rash,Antihistamine,Skin,Chickenpox,Viral infection
Blisters,Acyclovir,Skin,Shingles (Herpes Zoster),Viral
Ulcer in mouth,Mouth gel,Tongue,Canker sores,Minor infection
Stomach bloating,Probiotics,Abdomen,Irritable Bowel Syndrome,Digestive issue
Runny nose,Nasal spray,Nose,Common Cold,Seasonal
Ring-shaped rash,Antifungal cream,Arm,Ringworm,Fungal infection
Worms in stool,Deworming tablets,Stomach,Intestinal Worms,Parasitic infection
Skin ulcers,Antibiotic ointment,Feet,Leprosy,Chronic infection
Difficulty breathing,Inhaler,Lungs,Asthma,Respiratory
Severe fatigue,Antiviral,Whole body,Ebola Virus Disease,Outbreak
Sudden weakness,Emergency care,Body,Snakebite,Venom toxin
Eye redness,Antibiotic eye drops,Eyes,Pink Eye,Contagious
Body rashes,Antihistamine tablets,Skin,Scarlet Fever,Bacterial
Cough with mucus,Antibiotics,Lungs,Pneumonia,Respiratory infection
Fever with chills,Antimalarial,Body,Blackwater Fever,Severe malaria
Lymph node swelling,Antivirals,Neck,Monkeypox,Viral zoonosis
Bleeding nose,Cold compress,Nose,Heat-related Epistaxis,Summer condition
Severe dehydration,ORS & IV fluids,Whole body,Gastroenteritis,Stomach infection
Pain in chest,Antifungal,Lungs,Histoplasmosis,Fungal infection
Loss of appetite,Antibiotics,Abdomen,Typhoid fever,Bacterial
Hand tremors,Physiotherapy,Hands,Essential Tremor,Neurological
Swollen joints,Anti-inflammatory drugs,Ankles,Gout,Uric acid buildup
Dry throat,Warm salt gargle,Throat,Tonsillitis,Infection
Severe chills,Quinine therapy,Whole body,Severe Malaria,Mosquito bite
Swelling around eyes,Allergy tablets,Eyes,Hay Fever,Seasonal allergy
Persistent diarrhea,Antibiotics + fluids,Stomach,Dysentery,Amoebic infection
Black stools,Endoscopy + medication,Intestine,Colon Cancer,Tumor growth
Red patches,Topical steroid,Skin,Eczema,Skin inflammation
Burning chest pain,Antacids,Chest,Acid Reflux (GERD),Digestive issue
Sharp ear pain,Antibiotics,Ear,Otitis Media,Middle ear infection
Extreme fatigue,Vitamin supplements,Whole body,Chronic Fatigue Syndrome,Post-viral
Swelling of ankles,Diuretics,Legs,Heart Failure,Fluid retention
White discharge,Antifungal tablets,Genitals,Vaginal Candidiasis,Yeast infection
Sudden fainting,ECG monitoring,Heart,Cardiac Arrest,Emergency
Cracked lips,Hydration,Lips,Dehydration,Heat exposure
Swollen face,Corticosteroids,Face,Angioedema,Allergy reaction
fatigue,paracetamol + rest,whole body,influenza (flu),viral infection
headache,ibuprofen,head,migraine,stress-related
cough,antibiotics + cough syrup,throat,bronchitis,bacterial infection
shortness of breath,inhaler + oxygen therapy,lungs,asthma,dust exposure
joint pain,analgesic + physiotherapy,knees,arthritis,age-related
sore throat,warm saline gargle + lozenges,throat,tonsillitis,viral infection
frequent urination,insulin therapy,pancreas,diabetes mellitus type 2,obesity
dizziness,iron supplements,whole body,anemia,nutritional deficiency
nausea,oral rehydration + rest,stomach,gastroenteritis,contaminated food
fever,paracetamol + fluids,whole body,typhoid fever,bacterial infection
skin rash,antihistamine + topical cream,skin,urticaria,allergic reaction
breathlessness,bronchodilator inhaler,lungs,COPD,chronic smoker
back pain,painkillers + physiotherapy,back,slipped disc,prolonged sitting
chest tightness,nitroglycerin,chest,coronary artery disease,exertion
trembling hands,beta blockers,hands,hyperthyroidism,hormonal imbalance
swelling in feet,diuretics,legs,congestive heart failure,salt retention
tingling sensation,vitamin B12 supplements,legs,vitamin B12 deficiency,malnutrition
dry cough,steam inhalation + syrup,throat,common cold,viral infection
persistent cough,antibiotics + rest,lungs,pneumonia,bacterial infection
weight loss,insulin + diet plan,pancreas,diabetes mellitus type 1,high sugar
hair loss,multivitamins + minoxidil,scalp,hypothyroidism,hormonal imbalance
blurred vision,blood sugar control,eyes,diabetes mellitus type 2,uncontrolled glucose
itchy scalp,medicated shampoo,scalp,dandruff (seborrheic dermatitis),oily skin
runny nose,antihistamine + nasal spray,nose,allergic rhinitis,pollen allergy
burning urination,antibiotics,urinary tract,UTI (urinary tract infection),dehydration
abdominal cramps,antispasmodic + fluids,abdomen,irritable bowel syndrome,stress
muscle stiffness,warm compress + relaxants,legs,fibromyalgia,chronic fatigue
chest heaviness,aspirin + rest,chest,myocardial infarction,high cholesterol
joint stiffness,anti-inflammatory drugs,joints,rheumatoid arthritis,autoimmune
itchy patches,antifungal cream,skin,ringworm,fungal infection
mood swings,antidepressants,brain,depression,emotional stress
excessive worry,counseling + anxiolytics,brain,anxiety disorder,work pressure
sneezing,antihistamine,nose,sinusitis,dust allergy
vomiting,antiemetic + fluids,stomach,food poisoning,contaminated food
throat irritation,warm saline gargle,throat,pharyngitis,viral infection
loss of appetite,diet therapy,stomach,gastritis,irregular meals
shoulder pain,physiotherapy + analgesic,shoulder,frozen shoulder,poor posture
fatigue,vitamin D supplements,whole body,vitamin D deficiency,lack of sunlight
numbness in feet,blood sugar control,legs,diabetic neuropathy,long-term diabetes
confusion,rehydration + rest,brain,dehydration,excessive heat
palpitations,beta blockers,heart,arrhythmia,anxiety
dry skin,moisturizer + hydration,skin,eczema,winter dryness
pain while walking,blood thinners,legs,peripheral artery disease,poor circulation
burning eyes,lubricating drops,eyes,conjunctivitis,infection
swelling of joints,anti-inflammatory drugs,knees,gout,uric acid buildup
sneezing fits,antihistamines,nose,allergic rhinitis,pet dander
bloating,probiotics + fiber diet,abdomen,irritable bowel syndrome,poor digestion
high fever,antipyretic + fluids,whole body,dengue fever,mosquito bite
yellowing of eyes,antiviral + rest,liver,hepatitis B,contaminated water
skin discoloration,topical cream,face,melasma,sun exposure
trembling,medication adjustment,hands,Parkinson’s disease,old age
loss of memory,cognitive therapy,brain,Alzheimer’s disease,age-related
severe headache,rest + painkillers,head,tension headache,stress
constipation,laxatives + fiber diet,stomach,IBS (irritable bowel syndrome),low fiber intake
sore muscles,warm bath + rest,arms,muscle cramps,overexertion
chest pain,aspirin + ECG,chest,myocardial infarction,emergency case
wheezing,bronchodilator,lungs,asthma,dust exposure
rash on body,antifungal ointment,skin,fungal infection,sweat and humidity
burning sensation while urinating,antibiotics + hydration,urinary tract,UTI,bacterial infection
yellow urine,increased fluids,kidneys,dehydration,heat exposure
swelling in legs,compression stockings + diuretics,legs,varicose veins,prolonged standing
persistent fever,antiviral + fluids,whole body,malaria,mosquito-borne infection
itchy scalp with flakes,medicated shampoo,scalp,seborrheic dermatitis,oily skin
bleeding gums,vitamin C supplements,mouth,scurvy,poor nutrition
numbness in hands,nerve vitamins,hands,carpal tunnel syndrome,repetitive strain
dark stools,proton pump inhibitors,stomach,peptic ulcer,internal bleeding
night sweats,anti-TB medication,chest,tuberculosis,chronic infection
difficulty breathing,inhaler + oxygen,lungs,pneumonia,bacterial infection
rapid heartbeat,beta blockers,heart,tachycardia,anxiety
frequent headaches,stress management + hydration,head,tension headache,eye strain
itchy red eyes,eye drops + rest,eyes,conjunctivitis,dust exposure
dizziness upon standing,hydration + salt intake,whole body,hypotension,dehydration
pain during urination,antibiotics + fluids,urinary tract,cystitis,bacterial infection
cold hands and feet,circulation therapy,limbs,Raynaud’s phenomenon,cold weather
yellow skin,antiviral therapy,liver,hepatitis C,chronic infection
fainting spells,rest + hydration,brain,low blood pressure,heat exhaustion
abdominal bloating,probiotics + diet change,abdomen,gastritis,overeating
muscle weakness,physiotherapy + supplements,arms,myasthenia gravis,autoimmune
sore eyes,antibiotic drops,eyes,eye infection,hygiene issue
cracked lips,lip balm + hydration,mouth,dehydration,vitamin deficiency
lower back pain,hot compress + rest,back,sciatica,nerve compression
shortness of breath at night,diuretics,lungs,congestive heart failure,fluid retention
pain in calf,anticoagulants,leg,deep vein thrombosis,prolonged travel
tiredness,iron supplements,whole body,anemia,low hemoglobin
bloating after meals,antacids,stomach,GERD (acid reflux),spicy food
itchy rash on hands,steroid cream,hands,contact dermatitis,detergent exposure
frequent sneezing,nasal spray,nose,sinusitis,dust allergy
irregular heartbeat,medication + monitoring,heart,arrhythmia,caffeine intake
excessive sweating,antiperspirant + hydration,skin,hyperthyroidism,hormonal imbalance
dry mouth,saliva substitutes,mouth,diabetes mellitus,dehydration
dark circles under eyes,rest + hydration,face,insomnia,stress
nausea and vomiting,antiemetic,stomach,gastritis,overeating
chest congestion,steam inhalation + expectorant,chest,bronchitis,viral infection
back stiffness,physiotherapy,back,lumbar spondylosis,poor posture
difficulty swallowing,antibiotics,throat,pharyngitis,bacterial infection
itchy feet,antifungal cream,feet,athlete’s foot,sweating
red patches on skin,steroid cream,skin,psoriasis,autoimmune
excessive thirst,insulin therapy,pancreas,diabetes mellitus type 2,uncontrolled sugar
wheezing and cough,inhaler,lungs,asthma,pollen allergy
mild fever,fluids + rest,whole body,common cold,viral
loss of sleep,relaxation therapy,brain,insomnia,anxiety
burning in chest,antacid,chest,GERD,spicy food
painful urination,antibiotics,urinary tract,UTI,poor hygiene
persistent fatigue,thyroid medication,whole body,hypothyroidism,hormonal disorder
joint swelling,NSAIDs,joints,gout,uric acid buildup
loss of coordination,physiotherapy,legs,stroke,poor circulation
trembling at rest,dopamine therapy,hands,Parkinson’s disease,neurological disorder
ear pain,antibiotic drops,ear,ear infection (otitis media),water exposure
itchy ears,antifungal drops,ear,fungal ear infection,humidity
hearing loss,hearing aid,ear,age-related hearing loss,old age
ringing in ears,sound therapy,ear,tinnitus,loud noise exposure
blurred vision,corrective glasses,eyes,refractive error,screen fatigue
red eye,antibiotic drops,eyes,conjunctivitis,dust exposure
eye strain,rest + eye drops,eyes,computer vision syndrome,prolonged screen time
double vision,neurological evaluation,eyes,stroke,brain lesion
headache with nausea,painkillers + rest,head,migraine,dehydration
stiff neck,painkillers + physiotherapy,neck,cervical spondylosis,poor posture
tingling in hands,nerve vitamins,hands,peripheral neuropathy,diabetes
weak grip,physical therapy,hand,carpal tunnel syndrome,repetitive strain
swollen fingers,anti-inflammatory drugs,fingers,rheumatoid arthritis,autoimmune
facial drooping,corticosteroids,face,Bell’s palsy,viral infection
memory loss,cognitive therapy,brain,dementia,aging
tremors,dopamine therapy,hands,Parkinson’s disease,old age
anxiety attacks,psychotherapy + medication,brain,panic disorder,emotional stress
persistent sadness,antidepressants,brain,major depression,social isolation
overthinking,counseling,brain,anxiety disorder,work stress
fear and nightmares,therapy + medication,brain,PTSD,trauma history
poor sleep,melatonin,brain,insomnia,lifestyle
restlessness,relaxation therapy,brain,ADHD,attention issues
fever and chills,antibiotics,whole body,typhoid,contaminated food
cough with phlegm,expectorant + antibiotics,lungs,bronchitis,bacterial infection
night cough,inhaler,lungs,asthma,dust exposure
chest tightness,oxygen + bronchodilator,lungs,COPD,smoking
shoulder stiffness,physiotherapy,shoulder,frozen shoulder,repetitive strain
pain on movement,analgesics,joints,bursitis,overuse
foot pain,orthotic support,foot,plantar fasciitis,prolonged standing
muscle cramp,hydration + salt intake,legs,electrolyte imbalance,dehydration
knee pain,anti-inflammatory drugs,knees,osteoarthritis,aging
swelling in joints,uric acid control,joints,gout,red meat intake
pain in heel,cold compress,heel,heel spur,overuse
tingling in toes,vitamin supplements,toes,peripheral neuropathy,diabetes
calf tightness,stretching + hydration,legs,muscle fatigue,exercise
shoulder pain,pain relief spray,shoulder,rotator cuff strain,heavy lifting
stiff back,physiotherapy + rest,back,muscle strain,long hours sitting
lower limb weakness,physiotherapy,legs,multiple sclerosis,nerve disorder
burning pain in legs,nerve pain medication,legs,diabetic neuropathy,uncontrolled diabetes
difficulty walking,physiotherapy,legs,Parkinson’s disease,age-related
shortness of breath,bronchodilator,chest,bronchitis,pollution exposure
swelling around eyes,antihistamine,eyes,allergic reaction,pollen
dry itchy skin,moisturizer,skin,eczema,winter dryness
small boils,antibiotic ointment,skin,folliculitis,sweat and friction
white patches,topical steroids,skin,vitiligo,autoimmune
red scaly patches,coal tar ointment,skin,psoriasis,stress
fluid-filled blisters,antiviral cream,skin,herpes zoster (shingles),viral
rough dry skin,emollient cream,skin,xerosis,dehydration
nail discoloration,antifungal lotion,nails,nail fungus,moisture
rashes after sun exposure,sunscreen + cream,face,photodermatitis,UV exposure
sore tongue,antifungal mouthwash,mouth,oral thrush,poor oral hygiene
cracked corners of mouth,vitamin B complex,mouth,angular cheilitis,deficiency
ulcers in mouth,topical gel,mouth,aphthous ulcer,stress
toothache,antibiotics + analgesic,teeth,dental abscess,bacterial infection
bleeding gums,scaling + vitamin C,mouth,gingivitis,plaque buildup
swollen jaw,antibiotics,jaw,dental infection,poor dental care
pain after meals,antacids,stomach,gastritis,spicy food
indigestion,digestive enzymes,stomach,dyspepsia,overeating
acid reflux,PPI + diet control,chest,GERD,lying down after meals
nausea after eating,antiemetic,stomach,gastritis,irregular eating
burning in stomach,proton pump inhibitor,stomach,peptic ulcer,spicy food
frequent belching,antacids,stomach,acid reflux,overeating
lower abdominal pain,antibiotics,pelvis,pelvic inflammatory disease,bacterial infection
irregular menstruation,hormonal therapy,pelvis,PCOS,hormonal imbalance
painful periods,painkillers + heat pad,abdomen,dysmenorrhea,stress
pelvic pain,antibiotics,pelvis,PID,infection
excessive hair growth,hormone therapy,face,PCOS,endocrine disorder
breast tenderness,pain relief gel,chest,fibrocystic breast,hormonal changes
nipple discharge,diagnostic evaluation,breast,galactorrhea,prolactin imbalance
lower back ache,physiotherapy,back,lumbar strain,heavy lifting
urinary leakage,bladder training,pelvis,urinary incontinence,post childbirth
difficulty urinating,medication,prostate,benign prostatic hyperplasia,aging
pain in perineum,antibiotics,pelvis,prostatitis,bacterial infection
erectile difficulty,counseling + meds,genital,erectile dysfunction,stress
testicular swelling,antibiotics,testicle,epididymitis,infection
vaginal itching,antifungal cream,genital,yeast infection,humidity
thick white discharge,antifungal tablets,genital,vaginal candidiasis,poor hygiene
foul-smelling discharge,antibiotics,vagina,bacterial vaginosis,infection
groin pain,rest + warm compress,groin,hernia,strain
sharp abdominal pain,surgical evaluation,abdomen,appendicitis,acute inflammation
yellow eyes,antiviral + rest,liver,hepatitis A,contaminated water
fluid in abdomen,diuretics,abdomen,liver cirrhosis,alcohol use
abdominal swelling,low salt diet,abdomen,ascites,liver disease
loss of appetite,nutritional supplements,stomach,chronic liver disease,fatigue
black stools,proton pump inhibitor,stomach,GI bleed,peptic ulcer
rectal pain,ointment + sitz bath,rectum,hemorrhoids,constipation
bloody stool,surgery + meds,rectum,colorectal cancer,chronic bleeding
anal itching,topical cream,anus,pinworm infection,poor hygiene
yellow stool,dietary control,liver,gallbladder disease,fatty diet
right upper abdominal pain,surgery,abdomen,gallstones,fatty food
sudden abdominal pain,surgical removal,abdomen,appendicitis,acute condition
vomiting blood,emergency care,stomach,peptic ulcer bleed,chronic gastritis
dark urine,hydration + medication,kidneys,jaundice,hepatitis
ankle swelling,salt restriction,legs,kidney disease,fluid retention
reduced urine output,dialysis,kidneys,renal failure,chronic condition
frequent urination at night,diuretics adjustment,kidneys,nocturia,heart failure
burning sensation in soles,vitamin therapy,feet,peripheral neuropathy,diabetes
cold feet,circulation therapy,legs,peripheral artery disease,poor blood flow
bluish fingers,warming + medication,fingers,Raynaud’s syndrome,cold exposure
hand tremor,dopamine therapy,hands,Parkinson’s disease,aging
loss of balance,physiotherapy,brain,cerebellar ataxia,neurological
slurred speech,rehabilitation therapy,brain,stroke,old age
sudden vision loss,emergency care,eyes,retinal detachment,trauma
drooping eyelid,steroid therapy,eyes,myasthenia gravis,autoimmune
tingling on one side,clot dissolvers,body,transient ischemic attack,hypertension
facial numbness,physiotherapy,face,Bell’s palsy,viral infection
loss of smell,nasal drops,nose,sinusitis,nasal blockage
nasal congestion,decongestant spray,nose,allergic rhinitis,dust
cough with fever,antibiotics + steam,chest,pneumonia,bacterial
productive cough,expectorant,lungs,bronchitis,smoking
night sweats,anti-TB therapy,chest,tuberculosis,chronic infection
pain while breathing,rest + antibiotics,chest,pleurisy,infection
high blood pressure,antihypertensive,heart,hypertension,stress
palpitations,beta blockers,chest,arrhythmia,anxiety
swelling in ankles,diuretics,legs,congestive heart failure,fluid overload
fatigue + breathlessness,oxygen therapy,lungs,COPD,chronic smoker
chest heaviness,nitroglycerin,chest,angina,exertion
pain radiating to arm,emergency treatment,chest,myocardial infarction,acute episode
shortness of breath on exertion,oxygen + meds,lungs,pulmonary embolism,clot
dry mouth,hydration + saliva stimulant,mouth,dehydration,medication side effect
pale skin,iron supplements,skin,anemia,chronic blood loss
excessive sweating,medication adjustment,whole body,hyperthyroidism,hormonal imbalance
slow heart rate,thyroid replacement,neck,hypothyroidism,endocrine disorder
weight gain,thyroid medication,neck,hypothyroidism,hormonal imbalance
weight loss,insulin therapy,pancreas,diabetes mellitus type 1,uncontrolled sugar
heat intolerance,beta blockers,body,hyperthyroidism,overactive thyroid
cold intolerance,thyroid hormone,body,hypothyroidism,metabolic disorder
excessive urination,insulin therapy,pancreas,diabetes mellitus type 2,hyperglycemia
confusion + thirst,IV fluids,brain,dehydration,heat stroke
loss of interest,therapy + antidepressants,brain,depression,emotional burnout
panic episodes,relaxation therapy,brain,anxiety disorder,overthinking
excessive fear,counseling + medication,brain,phobia,trauma
irritability,lifestyle therapy,brain,bipolar disorder,mood swing
flashbacks,trauma counseling,brain,PTSD,past trauma
poor focus,behavioral therapy,brain,ADHD,attention deficit
poor coordination,rehabilitation,limbs,multiple sclerosis,nerve damage
unsteady gait,physiotherapy,legs,Parkinson’s disease,neurological disorder
leg stiffness,physiotherapy,legs,spasticity,nerve lesion
painful joints,anti-inflammatory drugs,joints,osteoarthritis,aging
finger stiffness,warm compress,fingers,trigger finger,tendon inflammation
swollen wrist,brace + rest,wrist,tendonitis,repetitive motion
hand numbness,splint + vitamins,hand,carpal tunnel,prolonged typing
elbow pain,rest + physiotherapy,elbow,tennis elbow,overuse
shoulder swelling,cold compress,shoulder,bursitis,repetitive strain
pain in heel,heel pads,heel,plantar fasciitis,long standing hours
calf swelling,compression + rest,legs,deep vein thrombosis,immobility
tingling in feet,vitamin B complex,feet,neuropathy,diabetes
runny nose,antihistamine + nasal drops,nose,allergic rhinitis,pollen allergy
fever,paracetamol + fluids,whole body,common cold,viral infection
cough,cough syrup + rest,throat,bronchitis,bacterial infection
chest pain,aspirin + rest,chest,angina,smoking history
shortness of breath,inhaler + oxygen,lungs,asthma,dust exposure
joint pain,analgesics + physiotherapy,knees,arthritis,age-related
itching,antihistamine cream,skin,eczema,allergic reaction
nausea,oral rehydration + rest,stomach,gastroenteritis,food poisoning
fatigue,iron supplements,whole body,anemia,nutritional deficiency
headache,ibuprofen + rest,head,migraine,stress
dizziness,vitamin B12 supplements,whole body,vitamin B12 deficiency,malnutrition
body ache,paracetamol + rest,whole body,influenza (flu),seasonal infection
itchy eyes,antihistamine drops,eyes,conjunctivitis,allergy
burning urination,antibiotics + fluids,urinary tract,UTI,poor hygiene
constipation,laxatives + fiber diet,stomach,irritable bowel syndrome,low fiber intake
vomiting,antiemetic + hydration,stomach,food poisoning,contaminated food
runny eyes,lubricating drops,eyes,allergic conjunctivitis,dust exposure
loss of appetite,antacids + diet control,stomach,gastritis,irregular meals
sore muscles,warm bath + rest,arms,muscle strain,overexertion
nasal congestion,decongestant spray + steam,nose,sinusitis,cold weather
ear pain,antibiotic drops,ear,ear infection,water exposure
swollen neck,antibiotics,neck,tonsillitis,bacterial infection
skin redness,soothing lotion,skin,dermatitis,detergent use
sneezing,antihistamines,nose,allergic rhinitis,dust allergy
watery eyes,lubricating drops,eyes,conjunctivitis,pollen exposure
mild fever,rest + fluids,whole body,viral infection,seasonal change
sore joints,anti-inflammatory drugs,joints,arthritis,aging
heavy breathing,inhaler,chest,asthma,pollen allergy
cracked lips,lip balm,mouth,dehydration,dry weather
fatigue,vitamin supplements,whole body,vitamin deficiency,poor diet
headache,paracetamol,head,tension headache,stress
dry throat,warm water + honey,throat,sore throat,dehydration
skin rash,antihistamine cream,skin,eczema,allergic reaction
nausea,antiemetic,stomach,gastritis,spicy food
loss of taste,hydration + rest,mouth,common cold,viral
stomach cramps,antispasmodic,abdomen,food poisoning,contaminated food
burning chest,antacids,chest,GERD,heavy meal
back stiffness,physiotherapy,back,muscle strain,long sitting hours
watery nose,nasal spray,nose,sinusitis,infection
itchy skin,moisturizing lotion,skin,dry skin,winter
tiredness,multivitamins,whole body,anemia,poor diet
joint swelling,painkillers,knees,gout,high uric acid
shortness of breath,bronchodilator,lungs,bronchitis,smoking
swelling in feet,diuretics,legs,edema,fluid retention
dizziness,hydration,whole body,dehydration,heat
chest heaviness,aspirin,chest,heart disease,hypertension
throat irritation,lozenges + rest,throat,pharyngitis,cold weather
burning eyes,lubricating drops,eyes,dry eye syndrome,long screen time
cough with mucus,expectorant syrup,chest,bronchitis,bacterial infection
dry skin,moisturizer,skin,eczema,cold weather
tooth pain,antibiotics + analgesic,teeth,dental abscess,poor hygiene
stomach bloating,antacids,abdomen,gastritis,overeating
nasal blockage,steam inhalation,nose,sinusitis,infection
skin peeling,moisturizing cream,skin,eczema,dryness
weakness,rest + iron supplements,whole body,anemia,fatigue
tingling feet,vitamin B complex,legs,neuropathy,diabetes
ear ringing,sound therapy,ears,tinnitus,loud noise exposure
muscle cramps,hydration + salt,legs,dehydration,exercise
pain in knee,physiotherapy,knees,osteoarthritis,old age
swelling of hands,anti-inflammatory,hands,arthritis,repetitive motion
cold hands,circulation therapy,hands,Raynaud’s phenomenon,cold exposure
itchy scalp,medicated shampoo,scalp,dandruff,oily skin
hair fall,minoxidil,scalp,alopecia,stress
painful urination,antibiotics,urinary tract,UTI,infection
burning tongue,antifungal mouthwash,mouth,oral thrush,poor hygiene
chills,paracetamol + fluids,whole body,influenza,viral
persistent cough,antibiotics,chest,pneumonia,bacterial
eye redness,antibiotic drops,eyes,conjunctivitis,infection
loss of appetite,antacids,stomach,gastritis,indigestion
stiff neck,physiotherapy,neck,cervical spondylosis,bad posture
itchy rash,steroid cream,skin,contact dermatitis,detergent exposure
cracked heels,moisturizing cream,feet,dry skin,walking barefoot
low back pain,analgesics,back,lumbar strain,lifting weight
dry lips,lip balm + hydration,mouth,dehydration,summer heat
cough,rest + syrup,chest,flu,viral infection
mild headache,rest,head,migraine,stress
sore gums,antiseptic rinse,mouth,gingivitis,plaque buildup
joint stiffness,physiotherapy,knees,arthritis,age-related
loss of sleep,melatonin,brain,insomnia,stress
muscle weakness,vitamin therapy,arms,vitamin deficiency,poor nutrition
stomach ache,rest + hydration,stomach,gastroenteritis,infection
sneezing fits,antihistamines,nose,allergic rhinitis,dust
itching after bath,moisturizer,skin,dry skin,winter
breathlessness,inhaler,lungs,asthma,pollen
dizziness,rest + fluids,brain,dehydration,heat
nausea and vomiting,antiemetic,stomach,food poisoning,spoiled food
chills and fever,paracetamol + rest,body,malaria,mosquito bite
body ache,rest,body,viral fever,infection
rash,topical cream,skin,urticaria,allergy
blocked nose,saline drops,nose,sinusitis,congestion
frequent headache,hydration + rest,head,tension headache,eye strain
tired eyes,eye drops + rest,eyes,eye strain,screen use
bloating,probiotics,stomach,IBS,poor digestion
frequent thirst,insulin therapy,pancreas,diabetes mellitus,high sugar
sore joints,anti-inflammatory drugs,joints,arthritis,obesity
dry throat,warm water + rest,throat,common cold,viral infection
leg pain,stretching,legs,muscle fatigue,exercise
chest pressure,aspirin + ECG,chest,angina,exertion
itchy rash,calamine lotion,skin,allergic dermatitis,contact allergy
dry cough,steam inhalation,throat,flu,viral
weakness and fatigue,supplements,body,anemia,low iron
nausea after eating,antacids,stomach,gastritis,overeating
heavy breathing,oxygen therapy,lungs,COPD,smoking
numbness in fingers,vitamin B12 supplements,hands,neuropathy,diabetes
burning chest,PPI + rest,chest,GERD,spicy food
sore mouth,antifungal gel,mouth,oral thrush,infection
watery nose,antihistamine,nose,rhinitis,pollen
dry cough,honey + warm water,throat,flu,cold air
swelling of ankles,diuretics,legs,edema,heart failure
tiredness after meals,insulin,pancreas,diabetes mellitus type 2,sugar spike
skin bumps,topical antibiotic,skin,folliculitis,shaving irritation
dry eyes,eye drops,eyes,dry eye syndrome,dehydration
fever and cough,antibiotics,lungs,pneumonia,bacterial infection
itchy scalp,ketoconazole shampoo,scalp,dandruff,fungal infection
joint pain,warm compress,knees,arthritis,aging
headache,pain relief + hydration,head,migraine,stress
stomach upset,probiotics + fluids,stomach,gastroenteritis,bad food
sore throat,antibiotic + lozenges,throat,pharyngitis,cold exposure
chest congestion,bronchodilator + steam,lungs,bronchitis,pollution
fatigue,iron supplement + rest,whole body,anemia,blood loss
dry cough,cough suppressant + rest,throat,common cold,viral
wheezing,bronchodilator + oxygen,lungs,asthma,dust allergy
joint stiffness,NSAID + physiotherapy,knees,arthritis,aging
muscle pain,muscle relaxant + rest,arms,strain,overwork
itchy skin,antihistamine + moisturizer,skin,eczema,allergy
abdominal cramps,antispasmodic + fluids,abdomen,IBS,stress
heartburn,antacid + diet modification,chest,GERD,spicy food
bloating,antifoaming agent + probiotics,stomach,indigestion,overeating
burning urination,antibiotic + fluids,urinary tract,UTI,infection
sore gums,antiseptic mouthwash,mouth,gingivitis,poor hygiene
headache,NSAID + hydration,head,migraine,tension
fever,antipyretic + rest,whole body,viral fever,infection
runny nose,antihistamine + nasal spray,nose,allergic rhinitis,dust
nausea,antiemetic + fluids,stomach,gastritis,overeating
loss of appetite,antacid + rest,stomach,gastritis,irregular meals
breathlessness,bronchodilator + steroids,lungs,COPD,smoking
chest pain,antiplatelet + rest,chest,angina,exertion
insomnia,sedative + counseling,brain,sleep disorder,anxiety
sore joints,NSAID + physiotherapy,knees,osteoarthritis,old age
dry eyes,lubricating drops,eyes,dry eye syndrome,screen use
hair fall,topical therapy + vitamins,scalp,alopecia,stress
rash,steroid cream,skin,dermatitis,contact allergy
dizziness,hydration + rest,whole body,dehydration,heat
cold hands,vasodilator + warm therapy,hands,Raynaud’s,cold weather
tiredness,vitamin supplement,whole body,fatigue,poor diet
ear pain,antibiotic drops,ear,otitis media,infection
itchy ears,antifungal drops,ear,fungal infection,humidity
eye redness,antibiotic drops,eyes,conjunctivitis,dust
blurred vision,corrective lenses,eyes,myopia,screen time
constipation,laxative + fiber diet,stomach,IBS,low fiber intake
nausea and vomiting,antiemetic + rest,stomach,food poisoning,contaminated food
chills,antipyretic + rest,whole body,malaria,mosquito bite
leg pain,analgesic + physiotherapy,legs,muscle cramp,exercise
nasal congestion,decongestant spray + steam,nose,sinusitis,infection
sneezing fits,antihistamine,nose,allergic rhinitis,pollen
itching after bath,emollient + moisturizer,skin,dry skin,winter
toothache,analgesic + antibiotics,teeth,dental abscess,poor hygiene
cracked heels,emollient + rest,feet,dry skin,barefoot walking
numbness in feet,vitamin B complex,feet,neuropathy,diabetes
chest tightness,bronchodilator + oxygen,chest,asthma,exertion
swollen ankles,diuretics + rest,legs,edema,fluid retention
throat pain,gargle + antibiotic,throat,tonsillitis,infection
headache,NSAID + rest,head,tension headache,dehydration
back stiffness,analgesic + physiotherapy,back,strain,poor posture
joint swelling,anti-inflammatory + rest,joints,gout,high uric acid
dry mouth,saliva substitute + fluids,mouth,dehydration,medication side effect
burning sensation,topical anesthetic,skin,dermatitis,allergy
skin redness,soothing lotion + rest,skin,urticaria,allergic reaction
wheezing at night,bronchodilator inhaler,lungs,asthma,cold weather
swollen throat,antibiotic + lozenges,throat,tonsillitis,bacterial infection
weakness,vitamin supplement,whole body,fatigue,poor sleep
dry lips,balm + hydration,mouth,dehydration,heat
chest heaviness,nitrate + rest,chest,heart disease,hypertension
